Zip Code,Mean Income
0,98071.52336
98001,96118.65407
98002,68484.75792
98003,74165.93503
98004,162460.1911
98005,144126.3574
98006,151917.0168
98007,120266.2722
98008,139631.245
98010,123207.8853
98011,121636.4324
98012,128885.653
98014,134684.0659
98019,140166.0839
98020,133207.9646
98021,137508.3278
98022,103532.8533
98023,89925.21811
98024,132128.9063
98026,111092.545
98027,141549.2958
98028,127200.8547
98029,157063.6095
98030,77399.42529
98031,85832.10241
98032,76247.87294
98033,162775.2753
98034,123132.8616
98036,98289.21079
98037,92048.66008
98038,128068.8159
98039,187175.3247
98040,171343.8735
98042,106351.4091
98043,86616.84783
98045,131724.5817
98047,74613.0031
98051,123947.3684
98052,156493.3135
98053,166201.3958
98055,87693.24654
98056,106351.8831
98057,81224.8996
98058,104406.9767
98059,125210.8593
98065,159985.4227
98070,118260.4736
98072,143286.8526
98074,180540.2208
98075,181801.1257
98077,164838.7097
98087,90278.51459
98092,101757.8994
98101,149427.0833
98102,123715.2983
98103,126560.9596
98104,104591.8367
98105,108183.6047
98106,94107.55149
98107,126427.3356
98108,85028.02242
98109,145896.6565
98110,151469.3709
98112,150868.8784
98115,134145.0409
98116,135571.9794
98117,141008.0645
98118,92523.0831
98119,133922.0685
98121,159919.9663
98122,114956.8257
98125,101252.2978
98126,118808.115
98133,95276.90495
98134,91666.66667
98136,137867.6471
98144,109356.1974
98146,92656.47226
98148,80901.48699
98155,111569.4444
98164,195454.5455
98166,115137.4113
98168,72739.80154
98177,142997.1319
98178,85684.56884
98188,69937.63756
98198,85853.85439
98199,152495.6217
98201,80973.12999
98203,91259.9319
98204,68600
98208,98951.98853
98220,78787.87879
98221,107399.4867
98223,97906.69856
98225,76237.62376
98226,87962.11775
98229,95077.63975
98230,92193.08701
98232,109034.6535
98233,80343.26425
98236,108640.9396
98237,72941.17647
98239,102377.7174
98240,87974.68354
98241,72330.09709
98244,79389.31298
98245,92441.86047
98247,84183.67347
98248,87632.65306
98249,105175.4386
98250,100108.4599
98251,77729.25764
98252,91322.31405
98253,111597.9381
98257,100222.2222
98258,107246.5338
98260,108898.3051
98261,95801.52672
98262,98437.5
98264,93551.5873
98266,62425.1497
98267,67708.33333
98270,88200.9824
98271,83199.35691
98272,102981.9955
98273,80209.79021
98274,94153.22581
98275,127767.7768
98276,83593.75
98277,81635.38874
98279,100757.5758
98281,97727.27273
98282,107553.3175
98283,77941.17647
98284,80381.07203
98290,114964.476
98292,105529.2599
98294,82890.85546
98295,77941.17647
98296,135039.5257
98303,97033.89831
98304,69736.84211
98305,75000
98310,75449.55045
98311,87440.09585
98312,83151.81518
98315,57222.22222
98320,75847.45763
98321,106062.5815
98323,88513.51351
98325,78211.00917
98326,65625
98327,101356.1321
98328,94270.83333
98329,98081.53477
98330,51923.07692
98331,72197.30942
98332,135149.7006
98333,141582.9146
98335,128437.9408
98336,71794.87179
98337,69475.13812
98338,93882.17523
98339,73421.05263
98340,114748.2014
98342,109062.5
98346,98863.63636
98349,87853.77358
98351,94767.44186
98354,91812.22707
98355,72826.08696
98356,70500
98358,104787.234
98359,100288.4615
98360,100000
98361,71568.62745
98362,80536.33218
98363,76748.25175
98365,119731.8008
98366,83987.41762
98367,100056.6465
98368,90940.76655
98370,105518.018
98371,99083.54646
98372,94869.70684
98373,89742.19317
98374,98739.91935
98375,91684.17367
98376,84000
98377,67434.21053
98380,110687.0229
98381,73214.28571
98382,88765.71807
98383,96734.33363
98387,78224.07883
98388,105746.2687
98390,92065.39075
98391,114951.5738
98392,85645.16129
98394,104381.4433
98402,87779.55272
98403,101141.5525
98404,63748.41972
98405,69991.09528
98406,101391.4234
98407,112006.4279
98408,68679.05057
98409,61475.73588
98418,68595.04132
98421,75000
98422,111222.5406
98424,81500
98433,53446.9697
98438,38725.4902
98439,51734.10405
98443,94982.39437
98444,59807.07395
98445,74851.48515
98446,86811.72291
98465,87643.67816
98466,93968.59386
98467,99400
98498,85409.05771
98499,66918.10345
98501,98153.47722
98502,92689.10066
98503,78594.59459
98506,91184.35155
98512,91695.50173
98513,89579.55233
98516,98989.32113
98520,69280.8607
98524,98341.83673
98526,45454.54545
98528,86545.98826
98531,66739.31997
98532,83720.93023
98533,73958.33333
98535,58333.33333
98537,74285.71429
98538,77631.57895
98541,75928.07425
98542,75961.53846
98546,96828.35821
98547,65094.33962
98548,75233.64486
98550,65500
98552,46428.57143
98555,83035.71429
98557,81055.90062
98560,53571.42857
98563,88866.12022
98564,75688.07339
98568,68376.06838
98569,75439.8827
98570,78531.07345
98572,65789.47368
98576,81422.9249
98577,75787.40157
98579,81799.33665
98580,92849.46237
98581,50000
98582,81944.44444
98584,76656.34675
98585,81250
98586,71467.3913
98588,80937.5
98589,86693.54839
98590,69444.44444
98591,82487.30964
98592,97566.37168
98593,65957.44681
98595,66917.29323
98596,77807.97101
98597,79291.37324
98601,92467.94872
98603,81875
98604,96611.88005
98605,70394.73684
98606,116067.5381
98607,128993.984
98610,75190.83969
98611,86008.67679
98612,88138.68613
98613,75000
98616,86538.46154
98619,76315.78947
98620,75389.4081
98624,74609.375
98625,96355.68513
98626,74690.26549
98628,52941.17647
98629,106055.1559
98631,75426.13636
98632,76549.77376
98635,90384.61538
98638,76785.71429
98640,70382.88288
98642,117139.3035
98643,75000
98645,88461.53846
98647,52777.77778
98648,90100.67114
98649,87272.72727
98650,91363.63636
98651,115625
98660,84192.43986
98661,71271.62225
98662,77574.8503
98663,79005.52486
98664,82643.17181
98665,82015.03221
98671,102691.2811
98672,98551.82927
98674,91996.83043
98675,94552.52918
98682,82272.87635
98683,95463.02051
98684,81724.94956
98685,111706.3492
98686,104237.7131
98801,81158.13482
98802,82057.82313
98812,61009.17431
98813,43708.60927
98814,78409.09091
98815,79376.8546
98816,88654.35356
98822,77696.07843
98823,80115.83012
98826,92220.74468
98827,47916.66667
98828,80405.40541
98830,79761.90476
98831,83670.52023
98834,58333.33333
98837,76412.64904
98840,67686.17021
98841,63578.6802
98843,78915.66265
98844,66761.36364
98846,69354.83871
98847,70430.10753
98848,66680.74324
98849,60714.28571
98850,58908.04598
98851,66515.15152
98855,63739.66942
98856,75800
98857,69940.47619
98858,77430.55556
98862,101773.0496
98901,62218.19646
98902,59194.95885
98903,73471.46739
98908,90783.54002
98922,102786.3777
98923,65217.3913
98926,82150.69495
98930,59527.55906
98932,50937.5
98933,57916.66667
98935,55555.55556
98936,77844.82759
98937,80924.17062
98938,64156.62651
98942,85976.33136
98944,57058.82353
98946,76041.66667
98947,61654.13534
98948,51376.55417
98951,53277.15356
98952,52857.14286
98953,78355.7047
99001,56778.16901
99003,90991.90283
99004,73871.52778
99005,112363.8344
99006,81455.80589
99008,80357.14286
99009,76104.97238
99011,55000
99012,79268.29268
99013,67261.90476
99016,98544.3038
99018,55000
99019,117589.4378
99021,94696.9697
99022,82248.15725
99023,117592.5926
99025,95039.68254
99026,101769.9115
99027,83650.79365
99029,72756.41026
99030,80288.46154
99031,91406.25
99032,66666.66667
99033,67142.85714
99034,52083.33333
99036,117948.7179
99037,86888.33124
99040,57926.82927
99101,66525.42373
99103,93478.26087
99109,75795.45455
99110,72388.0597
99111,84554.97382
99113,94871.79487
99114,76370.5104
99115,74019.60784
99116,78174.60317
99117,79761.90476
99118,70689.65517
99119,77173.91304
99122,86063.21839
99123,94148.93617
99125,70238.09524
99126,66176.47059
99128,82142.85714
99129,52380.95238
99130,78472.22222
99133,79347.82609
99134,83000
99135,77083.33333
99137,51666.66667
99138,62777.77778
99139,82500
99140,44230.76923
99141,73221.75732
99143,79807.69231
99148,78883.49515
99150,80000
99153,86842.10526
99156,76117.31844
99157,67241.37931
99158,86538.46154
99159,84090.90909
99161,85144.92754
99163,78471.59603
99166,73975.40984
99167,65833.33333
99169,77100.84034
99170,76666.66667
99171,75555.55556
99173,62681.15942
99179,92045.45455
99180,67647.05882
99181,67434.21053
99185,86111.11111
99201,65901.63934
99202,61040.26846
99203,110880.9524
99204,67187.5
99205,63943.93427
99206,78149.94299
99207,51863.46863
99208,88544.50058
99212,74034.55285
99216,67202.38095
99217,73187.1345
99218,85588.68502
99223,101138.5199
99224,95616.57033
99301,75701.34424
99320,83158.50816
99321,44375
99322,79545.45455
99323,91006.09756
99324,72182.2542
99326,72278.91156
99328,81045.75163
99329,59615.38462
99330,69285.71429
99336,68538.42635
99337,88304.1958
99338,123373.7245
99341,74242.42424
99343,68287.03704
99344,62079.40781
99347,74747.47475
99348,63725.4902
99349,57065.21739
99350,78324.46809
99352,110318.4323
99353,112500
99354,94163.68515
99356,47500
99357,59688.99522
99360,83076.92308
99361,84259.25926
99362,83042.63566
99371,54166.66667
99401,71428.57143
99402,87058.82353
99403,76525.42373
99999,89708.80212
